EMPLOYMENT STATUS,,,,,,,,,,,,,,,,,,,COMMUTING TO WORK,,,,,,,,,OCCUPATION,,,,,
ZCTA,ZCTA Numeric,Population 16 Years and Over,Population 16 years and over - In labor force,Population 16 years and over - In labor force - Civilian labor force,Employed Civilian Labor Force (%),Unemployed Civilian Labor Force (%),Armed Forces (%),Not in Labor Force (%),Civilian labor force,Civilian Labor Force Unemployment Rate,Females 16 years and over,Females 16 years and over - In labor force,Females 16 years and over - In labor force - Civilian labor force,Females 16 years and over - In labor force - Civilian labor force - Employed,Population 16 Years and Over With Children Under 6,Both Parents Working (% Of Adults with Children Under 6),Population 16 Years and Over With Children 6-17,Both Parents Working (% Of Adults with Children 6-17),ZCTA Numeric2,Average Travel Time To Work (Minutes),Workers 16 years and over,Drove Alone  (%),Carpooled  (%),Public Transportation  (%),Walked  (%),Other Means  (%),Worked From Home  (%),Civilian employed population 16 years and over,"Management, business, science, and arts occupations (%)",Service occupations (%),Sales and office occupations (%),"Natural resources, construction, and maintenance occupations (%)","Production, transportation, and material moving occupations (%)"
01201,1201,38132,63.3,63.3,58.8,4.5,0,36.7,24133,7.1,19767,61.6,61.6,58,2494,79.4,5037,77.9,1201,17,21739,78.7,9.6,2,2.6,1.1,6,22422,41.3,20.4,21.3,5.8,11.2
01220,1220,6957,60.2,60.2,56.5,3.7,0,39.8,4189,6.2,3468,57.4,57.4,53.4,378,84.7,891,74.3,1220,25.9,3817,80.6,10.1,0.4,1.8,0.9,6.2,3929,30.9,22.3,24.3,10.8,11.8
01222,1222,594,68.4,68.4,63.6,4.7,0,31.6,406,6.9,293,61.4,61.4,59,19,0,127,52,1222,25.5,364,83.2,12.1,0,0,0,4.7,378,38.9,10.1,11.4,27.8,11.9
01223,1223,2283,64.4,64.4,61.3,3.2,0,35.6,1471,4.9,1048,64.5,64.5,64.1,92,73.9,326,88.7,1223,33.9,1389,78.1,7.3,0.9,2.6,1.2,9.9,1399,44.1,19.1,14.8,9.4,12.6
01224,1224,174,59.8,59.8,59.8,0,0,40.2,104,0,103,75.7,75.7,75.7,0,-,38,100,1224,Null,104,89.4,0,0,0,0,10.6,104,50,0,36.5,13.5,0
01225,1225,2768,56.4,55.8,52.6,3.2,0.6,43.6,1545,5.8,1383,53.7,53.7,52.5,181,87.8,363,91.2,1225,26.4,1473,87.4,4.5,0,3.8,0,4.3,1456,51.4,16.3,17.9,11.8,2.7
01226,1226,5190,60.2,60.2,58.4,1.8,0,39.8,3126,3,2725,57.3,57.3,55.6,382,57.1,906,67.3,1226,20.7,2977,82.5,12.2,2.3,0,0.4,2.7,3032,47.2,22.4,13.2,6.3,10.9
01229,1229,142,40.1,40.1,40.1,0,0,59.9,57,0,76,51.3,51.3,51.3,0,-,0,-,1229,Null,49,59.2,0,0,0,0,40.8,57,52.6,0,21.1,26.3,0
01230,1230,7617,64.2,64.2,62.2,1.9,0,35.8,4887,3,4045,60.2,60.2,59.4,589,92,893,80.6,1230,20.6,4594,64.5,7.3,1,8.9,0.8,17.5,4741,41.4,19.8,15,12.6,11.3
01235,1235,2243,63.4,63.4,60.9,2.5,0,36.6,1423,4,1060,64,64,60.1,142,39.4,270,73.3,1235,24.4,1296,92,6.8,0,0.3,0.1,0.8,1366,31.1,26.6,14.7,12.6,15
01236,1236,1427,72.2,72.2,69.3,2.9,0,27.8,1031,4.1,751,66.3,66.3,65.1,122,95.1,83,86.7,1236,25.5,926,79.3,1.6,0,0,8,11.1,989,41,18.3,15.5,13.3,11.9
01237,1237,1836,67.9,67.9,66.2,1.7,0,32.1,1246,2.5,996,73.7,73.7,72.8,76,81.6,425,93.6,1237,18.3,1170,70.6,14.3,0.9,7.9,0.5,5.8,1215,47.9,12.2,24.1,3.8,12
