UNITS IN STRUCTURE,,,,,,,,,,YEAR BUILT,,,,,,,,,,,BEDROOMS,,,,,,
Total housing units2,"1-unit, detached (%)","1-unit, attached (%)",2 units (%),3 or 4 units (%),5 to 9 units (%),10 to 19 units (%),20 or more units (%),Mobile home (%),"Boat, RV, van, etc. (%)",Total housing units3,Built 2020 or later (%),Built 2010 to 2019 (%),Built 2000 to 2009 (%),Built 1990 to 1999 (%),Built 1980 to 1989 (%),Built 1970 to 1979 (%),Built 1960 to 1969 (%),Built 1950 to 1959 (%),Built 1940 to 1949 (%),Built 1939 or earlier (%),Total housing units4,No bedroom (%),1 bedroom (%),2 bedrooms (%),3 bedrooms (%),4 bedrooms (%),5 or more bedrooms (%)
8947,48,10.6,2.3,5.1,7.3,12.5,14.1,0.3,0,8947,0,0.5,3.2,5,12.8,24.4,25.5,17.6,7.5,3.5,8947,2,16.4,20.6,47.1,12.3,1.6
11192,81,10.9,0.5,1.5,2.8,2.3,1.1,0,0,11192,0,1.7,20.6,17.8,12.9,19.4,16.4,6.9,2.7,1.6,11192,0.1,3.8,16.3,65.5,13.6,0.6
10619,83.3,13.9,1.2,1.2,0.4,0,0,0,0,10619,0,1.6,7.2,16.7,26.7,22,18.8,4.5,1.3,1.3,10619,0.4,1.8,24.3,59.7,12.8,1
8370,82.6,15.8,0.4,0.9,0.3,0,0,0,0,8370,0,3.1,11.9,22.4,19.5,23.9,14,3.5,0.9,0.7,8370,0.3,3.1,18.3,58,17.6,2.7
8368,81.3,12.3,0,1.5,1.2,0.4,2.7,0.5,0,8368,0,1,19.6,26.4,21.2,17.2,11.3,1.8,0.2,1.2,8368,0.6,3.8,18.1,65.1,10.1,2.2
36022,64.2,14.8,6.3,4.5,4.1,3.2,2.9,0.1,0,36022,0,1.2,13.3,13.7,15.1,19.3,23.5,8.3,3.4,2.1,36022,1.8,6,19.4,56.8,14.3,1.8
22814,67,8.9,8.1,4.3,7.5,1.7,2.5,0.1,0,22814,0,1.4,20.9,16.3,17.7,21.2,17.3,3.7,1.1,0.3,22814,0.8,4.3,14.3,60.9,18.1,1.6
15626,84,6.6,0.4,1.7,2.6,3.2,1.3,0.2,0,15626,0,0.8,5.6,16.6,17.8,34.9,16.2,6.4,1.4,0.3,15626,1,5.2,17.6,55.7,17.9,2.5
19789,79.3,16,0.4,0.3,1.9,1,1,0.2,0,19789,0,0.6,17.7,20,17.8,24.2,12.8,4.2,1.9,0.8,19789,1,4,18.3,58.8,16.6,1.3
16560,70.2,13.6,1,2.5,5.8,4.3,2.5,0.1,0,16560,0,0.9,3.1,7.5,14.9,31.8,20.3,11.3,6,4,16560,1.4,5.9,23.3,55.2,12.4,1.9
