HEALTH INSURANCE,,,HOUSEHOLD BY TYPE,,,,,,,,,,,,,,,,,MARITAL STATUS,,,,,,,,,,,
Civilian noninstitutionalized population,Civilians with health insurance coverage (%),Civilians with no health insurance coverage (%),Total households2,Married-couple household,Married-couple household with children under 18 years,Cohabiting couple household,Cohabiting couple household with children under 18 years,"Male householder, no spouse/partner present","Male householder, no spouse/partner present with children under 18 years","Male householder, no spouse/partner present, living alone","Male householder, no spouse/partner present, living alone 65 years and over","Female householder, no spouse/partner present","Female householder, no spouse/partner present with children under 18 years","Female householder, no spouse/partner present, living alone","Female householder, no spouse/partner present, living alone 65 years and over",Households with one or more people under 18 years,Households with one or more people 65 years and over,Average household size,Average family size,Males 15 years and over,Males 15 years and over - Never married,"Males 15 years and over - Now married, except separated",Males 15 years and over - Separated,Males 15 years and over - Widowed,Males 15 years and over - Divorced,Females 15 years and over,Females 15 years and over - Never married,"Females 15 years and over - Now married, except separated",Females 15 years and over - Separated,Females 15 years and over - Widowed,Females 15 years and over - Divorced
29570,95.1,4.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
40036,94.7,5.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
29036,94.3,5.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
11120,89.8,10.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
6217,96.4,3.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
33296,94.3,5.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
55916,90.6,9.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
86,100,0,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
33869,94,6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
24915,93.3,6.7,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7179,88.7,11.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
24398,96.2,3.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10610,92,8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
16167,96.4,3.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
2012,94.7,5.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
27640,94.8,5.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
