HOUSING TENURE,,,,,VEHICLES AVAILABLE,,,,,HOUSE HEATING FUELS,,,,,,,,,
Occupied housing units2,Owner-occupied,Renter-occupied,Average household size of owner-occupied unit,Average household size of renter-occupied unit,Occupied housing units3,No vehicles available (%),1 vehicle available (%),2 vehicles available (%),3 or more vehicles available (%),Occupied housing units4,Utility gas (%),"Bottled, tank, or LP gas (%)",Electricity (%),"Fuel oil, kerosene, etc. (%)",Coal or coke (%),Wood (%),Solar energy (%),Other fuel (%),No fuel used (%)
8548,5584,2964,2.15,1.8,8548,10,52.8,25.5,11.7,8548,0.5,0.4,25.1,0.3,0,0,0.7,0,73
5804,3767,2037,2.41,2.48,5804,12.6,49.2,25.4,12.8,5804,0,1.1,19.2,0,0,0,0.1,0,79.6
12664,8462,4202,2.68,2.38,12664,11.7,43.5,31.4,13.4,12664,0.1,0.9,19.8,0,0,0,0.6,0,78.6
12105,8506,3599,2.62,2.71,12105,16,41.7,31.2,11.2,12105,0,0.3,15.9,0.1,0,0,0.5,0,83.2
20202,15017,5185,2.74,2.62,20202,9.4,41.1,34,15.5,20202,0.1,0.6,13.2,0,0,0,0.2,0,86
6791,4936,1855,2.48,1.84,6791,10.2,34,36.9,18.9,6791,60.8,4.3,16.3,17.2,0.1,0.9,0,0.3,0.1
9985,4763,5222,2.48,2.3,9985,13.2,35.2,37,14.6,9985,23.3,9.3,33.6,28.5,0,2.6,0.9,1.1,0.7
15,0,15,-,2.13,15,0,0,100,0,15,100,0,0,0,0,0,0,0,0
1761,1711,50,2.66,3.54,1761,1,20.5,44.4,34.1,1761,3.9,5.7,2,73,1.1,6.2,3.5,4.5,0
5917,4964,953,2.74,1.77,5917,4.3,23.2,44.5,28,5917,3,22.6,13.3,50.9,0,9.6,0,0.2,0.3
506,474,32,2.33,2.03,506,0.6,28.9,38.7,31.8,506,0.6,12.6,4.7,59.3,0,16.6,0,6.1,0
333,295,38,2.39,2.47,333,14.7,10.8,53.8,20.7,333,0,3.3,11.1,85.6,0,0,0,0,0
1503,1336,167,2.54,1.87,1503,1.7,29.9,45.9,22.5,1503,5.8,10,15.6,52,1.5,12.4,0.6,1.3,0.8
498,393,105,2.5,3.18,498,3.6,27.7,51.2,17.5,498,1.6,16.7,1.8,62.7,0,16.7,0,0.6,0
227,180,47,2.23,2.17,227,7,36.1,40.5,16.3,227,4.4,19.4,5.7,42.7,0,27.8,0,0,0
9375,4753,4622,2.51,2.2,9375,14.7,38.9,37.7,8.7,9375,42.3,2.7,30,23.2,0,0.7,0,0.8,0.3
13400,8221,5179,2.39,2.12,13400,9.2,40.6,35.5,14.7,13400,41,3.4,28.2,25.6,0,0.5,0,0.9,0.3
1082,762,320,1.45,2.29,1082,3,65.2,30.5,1.2,1082,77.5,14.4,8,0,0,0,0,0,0
454,369,85,2.51,1.72,454,4.4,42.7,36.8,16.1,454,2.4,40.7,2.6,32.6,0,19.8,0.9,0.7,0.2
8451,5456,2995,2.33,1.64,8451,6.2,39,41.8,13,8451,35.2,8.9,19.8,32.2,0.3,2,0.6,0.8,0.2
6017,5094,923,2.85,1.6,6017,7.8,24.8,44.6,22.8,6017,68.2,1.8,10.7,18.3,0,0,0,0.7,0.3
228,199,29,2.21,2.45,228,0,41.2,28.1,30.7,228,5.7,21.5,13.2,38.6,0,16.2,0,4.8,0
4994,3987,1007,2.74,1.68,4994,5.3,26.3,40.2,28.2,4994,55.4,0.9,19.3,22,0,0.7,0.1,1.5,0
608,361,247,2.76,2.34,608,7.6,34,24.8,33.6,608,1,5.4,19.9,63.3,0.8,8.6,0,1,0
198,180,18,2.24,1.5,198,3.5,28.3,51.5,16.7,198,0,22.7,6.6,37.4,0,24.7,0,8.6,0
2530,2206,324,2.57,1.33,2530,3.9,23.9,31.2,41,2530,12.1,6.7,8.1,63.9,1.1,6,0,2,0
830,779,51,2.41,2.22,830,0.5,22.2,43.3,34.1,830,2,15.5,3.5,50.8,0.2,24.1,1.1,2.7,0
2254,1724,530,2.39,1.98,2254,4.4,26.2,48.7,20.7,2254,15.4,7.2,13,57.5,0,5.4,0.9,0.5,0
2016,1906,110,2.45,2.1,2016,2.7,19.8,38.9,38.6,2016,34.8,10,5.1,38.5,2.3,7.2,0,2.1,0
257,225,32,2.16,4.16,257,0,16.7,38.1,45.1,257,0,8.9,5.1,71.2,7.8,7,0,0,0
1111,821,290,2.51,1.83,1111,6,28,42,23.9,1111,42.4,4.3,12.7,37.1,0,3.5,0,0,0
709,580,129,2.49,1.76,709,2.1,26.8,47.4,23.7,709,3,22.3,9.3,50.9,0,12.3,2.3,0,0
15062,5962,9100,2.57,2.42,15062,20.7,43.3,25.1,10.9,15062,46.8,1,33,17.1,0,0.4,0.4,0.7,0.5
1072,878,194,2.48,2.13,1072,2.6,34.2,40.5,22.7,1072,2.9,18,5.7,53.2,0.5,18.1,0.5,1.2,0
712,561,151,2.46,1.19,712,8,40.6,44.7,6.7,712,45.6,3.2,35,14.5,0,1.7,0,0,0
708,623,85,2.46,2.86,708,1,29.8,40.5,28.7,708,5.5,14.8,7.9,53.1,0,15.5,0.8,2.3,0
8567,6339,2228,2.46,2.06,8567,5.2,36.1,37.2,21.5,8567,52.8,3.7,9.5,32.3,0,0.7,0,0.5,0.3
3485,2884,601,2.46,1.88,3485,4.5,29.2,41,25.3,3485,6.6,8.4,14.8,56.2,1.2,7.4,1.3,3.3,0.9
7060,3311,3749,2.33,1.79,7060,12.9,43,33.9,10.2,7060,58.1,4.2,27.1,8.5,0,0.5,0.7,0.6,0.3
4162,3121,1041,2.47,1.69,4162,6.6,32.6,41.9,19,4162,53.8,5.1,14.7,19.7,0.3,3.1,1.3,1.8,0.3
5,0,5,-,-,5,0,100,0,0,5,0,0,100,0,0,0,0,0,0
34,34,0,1.5,-,34,0,76.5,23.5,0,34,0,0,0,76.5,0,0,0,23.5,0
625,575,50,2.53,3.14,625,1.9,16.5,44,37.6,625,0.5,11.7,8.8,59.4,0.8,16.8,0,2.1,0
3732,2755,977,2.45,2.06,3732,6.9,36.4,38.9,17.8,3732,7,7.6,25.4,53.2,0,4.6,0,1.7,0.5
258,225,33,2.48,1.79,258,0,29.1,45,26,258,2.3,26.4,7,25.2,0,34.1,1.6,3.5,0
518,465,53,2.5,2.15,518,0,32.2,38.4,29.3,518,0.6,10.4,2.5,68.5,0,14.7,0,3.3,0
609,541,68,2.24,2.4,609,3.9,34.5,43.7,17.9,609,1.8,26.4,7.1,42.4,0,21.7,0,0.7,0
2318,2085,233,2.79,1.47,2318,0.7,20.8,40.3,38.1,2318,40.3,7.5,13.6,32.3,0,5.7,0,0.6,0
157,41,116,2.24,4.24,157,26.1,59.2,14.6,0,157,29.3,14.6,0,56.1,0,0,0,0,0
7328,5680,1648,2.23,1.77,7328,4.4,40.7,40.8,14,7328,46.3,1.7,21.4,27.9,0,1.4,0.1,1,0.2
3648,3052,596,2.58,2.32,3648,3.5,22.4,45.1,29.1,3648,16.7,13.4,12,52.2,0,4.3,0,1.4,0
237,161,76,2.55,1.45,237,16.5,23.6,33.3,26.6,237,15.6,14.3,16.5,51.1,0,0,0,2.5,0
895,571,324,2.51,2.6,895,8.2,30.7,36,25.1,895,0,8.8,17.7,66.1,0,1.1,0,6.3,0
708,634,74,2.5,2.24,708,0.4,26.1,49.3,24.2,708,3.2,8.9,10.9,53.4,3.7,14.5,0,4.8,0.6
4689,3203,1486,2.36,1.94,4689,10.4,40.1,35.2,14.3,4689,6.1,9.2,15.5,53.4,0.6,8.1,0,5.3,1.9
934,594,340,3.42,1.97,934,16.1,27.1,34.2,22.7,934,19,5.9,26.6,22.7,3.7,21,0,1.2,0
44,35,9,2.23,2.56,44,0,22.7,63.6,13.6,44,13.6,15.9,6.8,40.9,0,15.9,0,6.8,0
15608,10339,5269,2.62,2.16,15608,7.1,30.6,39.8,22.5,15608,46.8,2.2,17.9,30,0.1,2.2,0,0.7,0.2
345,188,157,1.43,2.52,345,2,71,12.5,14.5,345,25.5,9.3,44.3,6.7,0,11.6,0,2.6,0
12734,7187,5547,2.59,1.82,12734,10.4,43.9,30.9,14.8,12734,58.4,2.9,24.5,13.1,0.2,0.2,0.3,0.1,0.3
532,274,258,2.66,1.99,532,4.3,48.3,34.2,13.2,532,46.6,5.3,10.9,37.2,0,0,0,0,0
70,62,8,2.13,3.13,70,0,12.9,47.1,40,70,0,0,0,68.6,0,31.4,0,0,0
31,31,0,2.26,-,31,0,51.6,9.7,38.7,31,0,16.1,22.6,61.3,0,0,0,0,0
5417,4865,552,2.78,1.55,5417,2.4,22.4,46.1,29.1,5417,44.3,6.3,8.5,40.3,0,0.3,0,0.2,0
1058,897,161,2.4,1.61,1058,4.3,29.4,37.8,28.4,1058,5.3,19.9,1.7,51.5,0.5,17.1,0,4,0
26,15,11,3.53,-,26,0,42.3,23.1,34.6,26,0,0,42.3,57.7,0,0,0,0,0
510,474,36,2.1,1.25,510,3.1,24.5,55.5,16.9,510,2.5,21.2,6.1,35.3,0.8,25.1,2,7.1,0
1434,134,1300,1.51,1.46,1434,40.9,47.4,10.3,1.5,1434,32,2.2,52.3,3.5,0,0,0,2.9,7.1
9208,4333,4875,2.66,2.37,9208,23.5,44.6,22.6,9.2,9208,51.4,1.9,23.5,19.4,0,0.3,0,0.2,3.4
5206,458,4748,1.81,2.36,5206,44.8,42.5,9.6,3.1,5206,46.3,0.8,38.5,7.1,0,0,0,1.7,5.6
6015,5411,604,2.65,2.06,6015,3.2,29.2,46.4,21.2,6015,82.6,1.2,4,10.7,0,0.7,0.1,0.4,0.3
4234,1289,2945,2.9,2.88,4234,32.5,40.7,17.5,9.2,4234,59.3,2.1,20.5,11.8,0,0.4,0,0,6
10213,4237,5976,2.71,2.45,10213,17.8,47.5,24.3,10.4,10213,69.6,3.5,10.9,14.6,0,0.1,0,0.2,1
9506,3970,5536,3.21,2.7,9506,22.4,39.7,24.5,13.4,9506,62.1,1.3,22.5,10.3,0.1,0,0,0.6,3.3
5785,4610,1175,2.49,2.99,5785,6.8,38,40.1,15,5785,64.9,3.2,11.6,20.2,0,0,0.1,0,0
5230,3705,1525,2.45,2.35,5230,11.1,44.3,33.1,11.4,5230,59.4,3.2,16.4,19.5,0,0,0.1,0.5,0.8
1136,1055,81,2.84,2.96,1136,1.4,34.2,48.9,15.5,1136,59.2,5.4,9,23,0,1.1,0,2.4,0
2523,1961,562,2.39,2.07,2523,6.3,43.2,37,13.6,2523,63.5,2.7,15,16.7,0,1.1,1,0,0
0,0,0,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-
3664,1771,1893,2.37,2.87,3664,12,51,27,10.1,3664,58.8,3.7,25,11.7,0,0.4,0,0.4,0
19952,12672,7280,2.38,1.94,19952,14.9,39.5,32.6,13,19952,59.4,4.6,10,23.4,0,1.1,0.1,1.2,0.3
3948,2273,1675,2.26,1.79,3948,14.3,40,32.7,13,3948,52.6,1.2,9.1,33.3,0,1.9,0,1.2,0.6
