RACE,,,,,,,,,HISPANIC/LATINO,,,HOUSING OCCUPANCY,,,,
Total population3,One race (%),White (%),Black or African American (%),American Indian and Alaska Native (%),Asian (%),Native Hawaiian and Other Pacific Islander (%),Some other race (%),Two or more races (%),Total population4,Hispanic or Latino (%),Not Hispanic or Latino (%),Total housing units,Occupied housing units,Vacant housing units,Homeowner vacancy rate (%),Rental vacancy rate (%)
5007,85,34.1,15,0.5,0.3,0,35.1,15,5007,97.7,2.3,3344,2239,1105,6.5,18
7347,83.7,51.2,7,0.4,2.5,0,22.6,16.3,7347,87.2,12.8,5414,3656,1758,1.8,14.4
6233,90.6,35.6,16,0.2,1,0.3,37.4,9.4,6233,98.2,1.8,3655,2691,964,4.2,12.8
7460,96.1,28,4.1,0.3,0.8,0,62.9,3.9,7460,93.1,6.9,3805,3040,765,3,3.8
25585,93.2,17.3,13.1,0.2,0.2,0,62.5,6.8,25585,98.5,1.5,15239,10602,4637,4.9,7.6
18504,86.7,45.6,10.1,0.1,0.3,0.1,30.6,13.3,18504,99.1,0.9,11470,8100,3370,3.8,8.5
15393,77.3,54.3,4.8,0.2,0.3,0.1,17.5,22.7,15393,99.5,0.5,10117,7633,2484,2.8,10.7
17249,81.5,45.7,19.2,0.2,0,0,16.4,18.5,17249,99.3,0.7,8835,6911,1924,3.4,5.1
32958,73.8,40.7,16.7,0.2,0,0,16.2,26.2,32958,99.3,0.7,17137,13552,3585,3.3,7.3
25915,89.1,43.1,14.7,0.3,0.1,0,30.9,10.9,25915,99.4,0.6,13767,10278,3489,3.4,3.6
48016,89.2,51.3,18.5,0.1,0,0,19.3,10.8,48016,99.1,0.9,23858,19048,4810,1.8,5.7
6128,92.4,52.3,19.9,0.2,0.4,0,19.6,7.6,6128,97.9,2.1,5059,2964,2095,5.5,22.6
94560,79,56.6,10.1,0.1,0.1,0,12.1,21,94560,98.7,1.3,44172,35788,8384,1.9,6
13662,78.3,59.8,7.1,0.6,0.4,0,10.4,21.7,13662,95.9,4.1,7318,5936,1382,2.3,7
124,100,57.3,42.7,0,0,0,0,0,124,33.1,66.9,45,27,18,-,0
69785,84.6,53.6,8.4,0.4,0,0,22.2,15.4,69785,99,1,31608,25663,5945,2.1,6.3
0,-,-,-,-,-,-,-,-,0,-,-,0,0,0,-,-
376,87.5,55.9,25,0,0,0,6.6,12.5,376,96.8,3.2,195,149,46,14.7,0
7727,88.9,44,20.8,0.1,0,0,23.9,11.1,7727,100,0,3855,2842,1013,3.7,3.5
67606,84.3,67.4,6.2,0.1,0,0,10.5,15.7,67606,98.8,1.2,26175,21990,4185,2.1,5
64939,72.5,48.4,6.4,0.1,0,0,17.6,27.5,64939,99.2,0.8,30623,23846,6777,3,8
41162,75,48.6,6,0.2,0.4,0,19.8,25,41162,99.1,0.9,17948,14799,3149,2.8,7.6
47783,76.4,48.9,8.9,0.1,0.2,0,18.4,23.6,47783,98.1,1.9,21681,17329,4352,4.7,8
3380,76.5,46.2,15,0,0,0,15.4,23.5,3380,99.2,0.8,0,0,0,-,-
30842,76.4,51.2,7.5,0,0.2,0,17.5,23.6,30842,99.4,0.6,13127,11292,1835,1.4,2.7
20066,73.6,53.8,9.7,0,0,0,10,26.4,20066,98.8,1.2,9449,7567,1882,2.2,4.9
5392,71.2,46.4,12.2,0.1,0.3,0,12.2,28.8,5392,99.6,0.4,2674,1888,786,5.3,4.7
15737,70.4,55.2,3.7,0,0.3,0,11.2,29.6,15737,97.8,2.2,7714,5976,1738,5.9,2
3683,80.5,63.8,2.7,0,0.4,0,13.6,19.5,3683,97.8,2.2,2118,1775,343,2.8,4.5
42144,75.5,53.2,6.1,0.4,0,0,15.7,24.5,42144,98,2,17490,14577,2913,3.6,8.5
27048,74.4,47.1,7.1,0.1,0,0,20,25.6,27048,99.7,0.3,12054,9104,2950,5.2,3.5
61869,85.2,63.9,12.2,0.1,0.3,0,8.7,14.8,61869,99.3,0.7,26714,22179,4535,2.1,4.9
17313,86.1,46.7,10.9,1,1.2,0,26.3,13.9,17313,95.4,4.6,11982,8548,3434,2.2,10.1
14151,88.8,43.2,18.2,0,0.8,0,26.7,11.2,14151,99.1,0.9,7459,5804,1655,5.2,10.9
32747,88.5,42.5,20,0.4,0,0,25.6,11.5,32747,99.1,0.9,16066,12664,3402,1.6,6.8
32261,88.2,39.6,19,0.9,0.2,0,28.4,11.8,32261,99.5,0.5,14389,12105,2284,2.1,3.9
54950,85.2,41.8,16,0.6,0.1,0,26.6,14.8,54950,98.8,1.2,23961,20202,3759,1.7,3.9
16088,98,89.7,3.7,0,3.7,0,0.9,2,16088,4.3,95.7,7069,6791,278,0.3,2.5
27323,91.6,73.7,6,0.1,9.6,0.5,1.7,8.4,27323,7.5,92.5,11301,9985,1316,0,7.9
13711,92.3,66.9,5.6,0.3,18.7,0,0.8,7.7,13711,9.5,90.5,84,15,69,-,82.1
4947,96.8,96.4,0.4,0,0,0,0,3.2,4947,3.5,96.5,1983,1761,222,5.9,0
15304,97.2,91.8,0.3,0,3.2,0,1.8,2.8,15304,4,96,6237,5917,320,0,3.6
1171,98.5,98.4,0,0.2,0,0,0,1.5,1171,4.4,95.6,617,506,111,0,0
800,100,100,0,0,0,0,0,0,800,0,100,399,333,66,0,0
3703,90.6,82.6,4.1,0,0.7,0,3.2,9.4,3703,1.9,98.1,1698,1503,195,0,11.2
1332,99.2,97.7,0.4,0,0.2,0,0.9,0.8,1332,0.7,99.3,651,498,153,0.8,0
503,98,98,0,0,0,0,0,2,503,2,98,279,227,52,0,16.1
22709,91.2,74.5,4.5,0,2.2,0,10,8.8,22709,31.7,68.3,10348,9375,973,2.4,2.8
30704,94.1,83.2,5.5,0,1.3,0,4,5.9,30704,16.6,83.4,13964,13400,564,0.6,0
2235,95,74.2,16.6,0,2.9,0,1.3,5,2235,8.1,91.9,1098,1082,16,0,0
1071,97.3,97,0,0.2,0.1,0,0,2.7,1071,1.2,98.8,559,454,105,0,0
17708,93.7,90.5,0.4,0,1.7,0,1,6.3,17708,5.6,94.4,8977,8451,526,0.1,6.7
16386,95.8,90.3,1,0,3.9,0,0.6,4.2,16386,7,93,6294,6017,277,3.7,0
511,99,98.6,0,0.4,0,0,0,1,511,1.6,98.4,995,228,767,4.3,0
12627,96.5,93.8,1.5,0,0.6,0,0.6,3.5,12627,4.2,95.8,5173,4994,179,0.6,0
1577,92.6,90.5,0,0,0,0,2.2,7.4,1577,10,90,659,608,51,0,0
430,100,99.1,0,0,0,0,0.9,0,430,0.9,99.1,317,198,119,5.3,0
6110,98.7,96.5,1.1,0,0.5,0,0.5,1.3,6110,2.8,97.2,2618,2530,88,1.7,0
1991,94.8,92.8,1.1,0.3,0.5,0,0.2,5.2,1991,0.9,99.1,1199,830,369,1.1,0
5293,94.4,89.1,2.3,0,2.2,0,0.9,5.6,5293,3.6,96.4,2306,2254,52,0,8.9
4991,97,91.7,0.1,0.5,0.3,0,4.4,3,4991,6.2,93.8,2118,2016,102,1.5,0
692,96.8,96.1,0.1,0.1,0.4,0,0,3.2,692,3.2,96.8,274,257,17,7,0
2601,95,88.1,0,1,0.8,0,5.1,5,2601,7.5,92.5,1150,1111,39,3.6,0
1675,97.9,94.1,1.7,1.1,0,0,1,2.1,1675,4.5,95.5,721,709,12,0,0
