HOUSE VALUE,,,,,,,,,MORTGAGE STATUS,,,DETAILED CRIME,,,,,,,,,
Owner-occupied units,"Less than $50,000 (%)","$50,000 to $99,999 (%)","$100,000 to $149,999 (%)2","$150,000 to $199,999 (%)3","$200,000 to $299,999 (%)","$300,000 to $499,999 (%)","$500,000 to $999,999 (%)","$1,000,000 or more (%)",Owner-occupied units2,Housing units with a mortgage (%),Housing units without a mortgage (%),Violent_Crime_Index,Assault_Index,Murder_Index,Rape_Index,Robbery_Index,Property_Crime_Index,Burglary_Index,Larceny_Index,Motor_Vehicle_Theft_Index,Property_Damage_Index
8279,18.8,39.6,21.6,10.9,5.9,2.1,0.4,0.7,8279,27.1,72.9,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3011,17,52,17.5,9,2.4,0.9,1.2,0,3011,7.9,92.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
3020,4.6,55.2,26.2,8.4,4.9,0,0.6,0,3020,42.7,57.3,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
10856,5.1,30,30.5,16.8,13.3,4.2,0,0.1,10856,41,59,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
8039,7.9,38.7,35.4,8.3,7.1,0.9,1.4,0.1,8039,44.2,55.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
7559,5.3,31,33,16.9,10.9,2.9,0,0,7559,35.2,64.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
330,21.8,50.6,20.9,6.7,0,0,0,0,330,20.9,79.1,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1146,12.8,60,12.7,13.6,0,0,0.8,0,1146,38.6,61.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
11608,8.1,26.3,38.8,14.2,8.9,2.8,0.2,0.7,11608,46.4,53.6,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5794,19.6,50.2,19.8,3.1,4.7,1.2,0,1.4,5794,23.2,76.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
9749,10.5,38.2,29.8,13.9,5.1,1.9,0.6,0,9749,27.2,72.8,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5660,16.3,41.4,28.1,9.5,4.4,0,0.3,0,5660,40.8,59.2,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
1670,7.9,35.6,10.4,24.3,17.8,4.1,0,0,1670,13.6,86.4,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
5798,15.8,43.4,19.6,14,5.7,1.3,0,0.2,5798,20.5,79.5,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
8356,12.5,51.7,23.1,8.4,2.6,1.4,0.2,0,8356,24,76,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
